Tweet,Polarity
"@Umaryusuf99 @AjammaS @Msani_Shekariya @realFFK @realDonaldTrump You never thought about negotiating with IPOB/Biafrans who are fighting for their freedom, but you suggest we negotiate with the Boko haram terrorists who have killed people in their thousands. Are you not worst than the devil?",1
BIAFRA freedom - lovers of freedom pliz save BIAFRANS in ur countries-nigeria government is killing us-@realDonaldTrump @dgpup @Uppolice @narendramodi @ANINewsUP @sspnoida @RFKHumanRights @UNinIndia @MaziNnamdiKanu   @SURAJPUR_POLICE @g_ipob @rwlord @BorisJohnson @DelhiPolice https://t.co/xTGcaMy91x,0
"I need the head of Lord Rugard of Britain so that I can be free from this terrorist and toxic wasted UNION called zoo Nigeria, doom to Nigeria government @UN @EUParliament1 @BorisJohnson @realDonaldTrump @netanyahu @MaziNnamdiKanu surly BIAFRA shall Restore.",1
@Amaka_Ekwo so amaka u did not know.i have made video long time ago.wake up jubril from sudan aka fake buhari,1
"ICC extends war crime probes to Army, Shi\xe2\x80\x99ites, IPOB clashes \xe2\x80\x93 Report https://t.co/NPcUYfTXFq",0
"The case against IPOB was never a clash, they should report it as it was. https://t.co/pDWdr57xue",0
@DoneChiboy @realDonaldTrump @dgpup @Uppolice @narendramodi @ANINewsUP @sspnoida @RFKHumanRights @UNinIndia @MaziNnamdiKanu @SURAJPUR_POLICE @g_ipob @rwlord @BorisJohnson @DelhiPolice @alfonslopeztena #Biafra land is under siege by terrorist boko halam they released from prison give them uniform send to #Biafra land killing many Christians #Biafra,0
"""@SonyTV @ashnoorkaur03 @KathaKottage @saurabhraajjain Finally Monday.. Can't wait for todays episode \xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9 #patialababes becoming more interesting day by day.. loving #NeilOberoi #ArNe #MiNeil \xf0\x9f\x98\x8d\xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9""",0
BIAFRA freedom - lovers of freedom pliz save BIAFRANS in ur countries-nigeria government is killing us-@realDonaldTrump @dgpup @Uppolice @narendramodi @ANINewsUP @sspnoida @RFKHumanRights @UNinIndia @MaziNnamdiKanu   @SURAJPUR_POLICE @g_ipob @rwlord @BorisJohnson @DelhiPolice https://t.co/fYW8QvqIAp,0
"""@YourViewTVC the nigeria army are good for only one thing, kill and intimidate innocent and unarmed civilians. That was how they shoot El Zakzaky people, that's how they shoot innocent ipob member&amp; that's how they harass people with tattoo.""",0
BIAFRA freedom - lovers of freedom pliz save BIAFRANS in ur countries-nigeria government is killing us-@realDonaldTrump @dgpup @Uppolice @narendramodi @ANINewsUP @sspnoida @RFKHumanRights @UNinIndia @MaziNnamdiKanu   @SURAJPUR_POLICE @g_ipob @rwlord @BorisJohnson @DelhiPolice https://t.co/x1jpebhxpn,0
@DoneChiboy @realDonaldTrump @dgpup @Uppolice @narendramodi @ANINewsUP @sspnoida @RFKHumanRights @UNinIndia @MaziNnamdiKanu @SURAJPUR_POLICE @g_ipob @rwlord @BorisJohnson @DelhiPolice @alfonslopeztena #Biafra land is under siege by terrorist boko halam they released from prison give them uniform send to #Biafra land killing many Christians #Biafra https://t.co/CwAPwgY1cd,0
@MrOdanz \xe2\x80\x98The threat is real against Christians\xe2\x80\x99. That statement doesn\xe2\x80\x99t mean that the Muslims are not victims too. Nobody dey drag who them kill pass with you.,0
"@discas2001 Those Cultures and their Cultural Ambassadors that encourage Almajiri on massive scale, and champion Open Grazing on wholesale proportion such that they impede human development and societal progress may well fit in to what Mama dubbed as being Stupid IDIOTS and Compound FOOLS.",1
Sad! See What Happened To Two Almajiri Teens As They Sleep On The Street Without Home https://t.co/lq2MaHkhR5 https://t.co/Tbje9newNw,0
"ICC extends war crime probes to Army, Shi\xe2\x80\x99ites, IPOB clashes. \n\nThis is what we demanded &amp; this is what we got alongside the travel ban request. There\xe2\x80\x99ll be more. Nigerians can no longer be killed for nothing to happen. #EndImpunity \xe2\x81\xa6@SIAF_NG\xe2\x81\xa9 https://t.co/2zOotUwr4Z",0
"IPOB family, they happiest family\n\nOn this planet earth.....\nGod bless Mazi Nnamdi Kanu",0
BIAFRA freedom - lovers of freedom pliz save BIAFRANS in ur countries-nigeria government is killing us-@realDonaldTrump @dgpup @Uppolice @narendramodi @ANINewsUP @sspnoida @RFKHumanRights @UNinIndia @MaziNnamdiKanu   @SURAJPUR_POLICE @g_ipob @rwlord @BorisJohnson @DelhiPolice https://t.co/HIsBclhvrq,0
"@jeremycorbyn Are your little friends in the evil Iranian Regime a bit sad.\n\nAt least he\xe2\x80\x99s not doing TV ads on Iranian telly.\n\nHow can you even think such an evil regime should be left to terrorise and kill Christians, Gays, non Shia Muslims ? https://t.co/7muEshSoe1",0
"""Could you be a volunteer at RSPB's Arne Nature Reserve? https://t.co/mJWy1XzFgI""",1
"@witch_lisa @talkingkoala Thank you, In these times of utter destruction I am moved by your little videos of these creatures. Why is it that some so-called Christians think that the biblical calling for humans to have Dominion and stewardship means to kill and destroy God\xe2\x80\x99s creation? @james00000001",0
"""RSPB's Arne Nature Reserve needs volunteers https://t.co/wmnGypUVbO https://t.co/UlolWlbbUH""",0
BIAFRA freedom - lovers of freedom pliz save BIAFRANS in ur countries-nigeria government is killing us-@realDonaldTrump @dgpup @Uppolice @narendramodi @ANINewsUP @sspnoida @RFKHumanRights @UNinIndia @MaziNnamdiKanu   @SURAJPUR_POLICE @g_ipob @rwlord @BorisJohnson @DelhiPolice https://t.co/nvQmZGNSgR,0
"5 erosion spots in Anambra but the state governor wife went to USA to do charity, IPOB react decisively",0
Almajiri Needs Our Help https://t.co/PZLsuzMWHu,0
Since the first incident the Army hasn\xe2\x80\x99t said anything. Let ipob mistakenly sneeze. Within a second they will mobilize.\n\nThe shame is on them as these idiots are a reflection of their \xe2\x80\x9cethics\xe2\x80\x9d https://t.co/DvdETEFAQa,1
"""@Bayern_Ryan @kevinhatchard It's the same if he wasn't linked with Bayern to be honest. I look at Arne Maier and his injury and say the same thing""",0
@w_terrence @realDonaldTrump Our enemies are like muzlim roaches. They continually multiply and kill for sport. No matter what they say... they all hate Jews and Christians.,1
"If we agreed with the FG that IPOB &amp; Shitte are terrorist groups but angry with the US on IRAN, is our honesty not questionable?",0
This people are protesting against killing of terrorist Head Man and Nigeria government welcome it but IPOB members celebrate Donald Trump wining USA presidential election Nigeria government killed and kidnappe many IPOB members up to date Nigeria govt is Terrorist government https://t.co/7aJIkDg13N,1
"""Everytime I see a pray for Australia post its got a koala or kangaroo. Y'all wouldn't give a shit if it wasnt a country with cute animals. Wont find 1 post about a drought in nigeria with a picture of a dead fish. Hahaha""",1
Nigeria is a zoo,1
"""Lawyer tackles DSS over arrest of man 'who created' video on Buhari's fake wedding - TheCable https://t.co/hM1RT81w6Q""",0
"""@BobbyAzarian congrats on the PHD but it doesn't give you the right to bully Christians by calling them stupid https://t.co/YB9MknIBXY""",0
@Drmuzoic @ayemojubar When they running riot and elf is causing mayhem in Abuja they are your Shiites compatriots but when they turn against your stupid hubris they suddenly become \xe2\x80\x9cAlmajiri\xe2\x80\x9d,1
"@ejigsonpeter @TosinOlugbenga Their libido is very high,  they marries 4 wives as young as 13 years.... \nThe output is a ""SOUL-LESS"" almajiri",1
@fbashir507 Allah arne,1
@jaredpb44 @JoeCecot @Arne_Soe @charlieINTEL @DavidMickner @InfinityWard @CallofDuty Destroying killstreaks. Been stuck at 4/50 even tho I\xe2\x80\x99ve destroyed probably close to 100 now.,0
"It\xe2\x80\x99s has become a routine, that when ever anything happens for or against their faith anywhere in the world, Biafrans and other indigenous Christians in the zoo (Nigeria) face death https://t.co/QAkBp6ImPy",1
@ChidiUchechukwu @TosinOlugbenga The almajiri system is a degrading system. But those children are innocent. The people in northern Nigeria should do more. Not just the government.,0
@Donadeedooda @BrendaA24168120 All Leftists care about in their defense of Muslims is that Muslim zealots hate Christians too. The old enemy of my enemy is my friend paradigm. Leftists are truly stupid.,0
If Nigeria was a proper country SARS will direct all suspicion about dead to EFCC but they must taste that cake first.,0
"@patrickabruzzo @Arne_Soe @charlieINTEL @DavidMickner @InfinityWard @JoeCecot @CallofDuty Which launcher are you one? I only have the jokr left, maybe I can give you some tips",0
@A_Chariz @JoeCecot @Arne_Soe @charlieINTEL @DavidMickner @InfinityWard @CallofDuty I just completed my strela recently. What challenges are not counting?,0
@samueljenkinson Arne is gonna love you when you get fat and lose your hair,1
Dead and wounded from the Nigerian army after an attack by Islamic State fighters on an army barracks in north-eastern Nigeria\n\n#Nigeria,0
I think our government is not ready to to take action on this Almajiri disaster. https://t.co/UKjvL15I06,0
"Me rhetorically: I\xe2\x80\x99ve gained so much weight this Christmas. \n\nArne in a serious voice: yeah I have noticed it. It\xe2\x80\x99s ok right now. But don\xe2\x80\x99t let it get any bigger than this. \n\nThen called me his chubby bear. \n\nSo that is me dead, rip me. https://t.co/OgC9JVvSId",1
Lawyer tackles DSS over arrest of man \xe2\x80\x98who created\xe2\x80\x99 video on Buhari\xe2\x80\x99s fake wedding | TheCable https://t.co/U84AbfQQPF https://t.co/fuRde2cgJa,0
"@Funmiscute Show us your trade, from almajiri you graduated to shanu.",0
"""@Freewillburnya @TheGod_Particle @Minagica @gimmesomeloki @jools6691 @wisemanryder @LivesTruth @AndrewRChapman @LilithLiberated @Teri89761502 @wraith_169 @hackingx2 @lord_godis @Mental_Universe @____Roar____ @ngAtPeace @orna_verum @ALReproRightsAd @snow_wulf @GlennB10809975 @IngridIngwah @Martin_Riggs22 @Melanie33720945 @Sicut_Lupus @rjmx @TertiusIII @odktiger @Freewillburnin @ChadCottle @rholftroy @ThatEpicTweet @markthorsby1 @MichelleNewDay @dbcooper138 @DiscoJerrys @MAWG20 @Thedukeistheman @adored_2 @dougstone2019 @hubie0 @N22427113536 @ashraf9999 @TheWestonMike @breathforallah @OfRewol @Rev11_5 @nixheathen @manchestermelly @Atheist_Geek48 @Choice4women1 You can get a Thank God that perp didn't get a chance to kill more Christians..""",0
Many reportedly dead as gas explosion hits Kaduna https://t.co/ZpArK45VmD,0
Margot @Robbie https://t.co/xwHlLAUjJR,0
"@GodLovesUSA1 @Text88022 I guess liberals think it\xe2\x80\x99s easier to accept evil as opposed to fighting it. Real life is never easy. I\xe2\x80\x99m sure given WW2 Hitler, today\xe2\x80\x99s Dems would just go ahead &amp; let Hitler rule the whole world &amp; kill the Jews&amp; Christians who helped them. Sad but true. Evil is ok w Dems",1
"""@Nazeef_10 @Mr_Zaheed @Zulksmaf @AjiyaIdriss @atikumjafar @AWarithib Y'all think if there's a war against Nigeria you'll even hear about it\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\nYou'll all be dead in seconds, The Mad King style""",1
"""In the Bible, God's words in raw Form!\nGod yes I'm what you call a racist! I formed my chosen people the Israelites above all others. Israel kill the amakelites and those in the land of Canaan. \n#Christians""",1
"@Kaltunmi The population decide, the almajiri is part of the north, the northern men keep producing like fishes, the can\xe2\x80\x99t control them. I think her assumption is accurately.",1
"@DavinaTaff1 @GaetaSusan @mgrant76308 They want as in times past to kill or control the"" Infidel "" Christians for Allah who they worship as the One God",1
New post (Mid Century Danish Rosewood 10 Drawer Tall Dresser designed by Arne Wahl Iverson for Vinde Mobler) has been published on ModernVibe - https://t.co/RS0KIONH7i https://t.co/YPBdXM2NSt,0
My Almajiri actually cried\xf0\x9f\x98\xa5\xf0\x9f\x98\xa5my neighbor said i spoilt him with good food\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8fhe has been asking when i will be back\xf0\x9f\x98\xa5\xf0\x9f\x98\xa5\xf0\x9f\x98\xa5that\xe2\x80\x99s life i won\xe2\x80\x99t always be around anymore baby boy\xf0\x9f\x98\xad\xf0\x9f\x98\xadI wish i can adopt him\xf0\x9f\x98\xa5\xf0\x9f\x98\xa5\xf0\x9f\x98\xa5\xf0\x9f\x98\xa5,0
"@EmekaGift You can not blame them bcos, Fulani used them to fight against  Ppl of Biafra during  d war like wise the middle belt ppl. But it will be great for them to join IPOB BIAFRA &amp;  work together with them to destroy their common enemies Fulani &amp;  send them back to where they belong.",1
"@UmarLawali4 @BMW_82 @olushola_shola Problem is you\'re not important to Arabs as USA/Israel, the same people u call ""Arne"".\n\nSuch a shame Arabs considers Arnes worthy of their respect than ""Northern Nigeria""",1
"""It was the Muslims that started the slave trade of black people. They're still doing it in Libya to the black people there.  #InconvientTruth \nBlack people in South Africa have killed white farmers and stole their land and property. Muslims kill black Christians in South Africa. https://t.co/dUjUgdRHUt""",1
"Further, if you \xe2\x80\x9cdiscovered\xe2\x80\x9d something obvious and plain (e.g \xe2\x80\x9cGod ordered the Israelites to kill people\xe2\x80\x9d) and you think 2000 years of Christians were unaware and this changes EVERYTHING, might I suggest you read more non contemporary American commentary on the Bible.",1
"@eva_angel9 @darcybbc Let me get this right , those progressives  who advocate 135 different genders LG BT and pansexuality are also the same ones who defend the rights of religious dinosaur extremists when they kill and torture gays and Christians ?",1
@lovestruckgame Looks promising,0
"Photo Of Man Arrested For Creating, Sharing Fake Video Depicting Buhari\xe2\x80\x99s Marriage \nhttps://t.co/kBkExGCqwb",0
@EdisonFN1 13 arne,1
Chairman of Nigeria Atomic Energy Commission feared dead in Kaduna Gas explosion https://t.co/mAo3By4t8c,0
"""@obyezeks Buhari hater...IPOB militant...how come you always twist this man's  message out of context?""",1
"@ayemojubar Should I say, brain dead. A diplomatic insult to Nigeria. What is wrong with these people? Robots.",1
"""It's sick to kill somebody one day. Have Christians applauding this . Then bragging about a 95% approval rate from a poll that don't exist.""",1
"@ejigsonpeter @TosinOlugbenga With the country\'s quota system, no doubt it\'s achievable for ""em...\nAlmajiri is Evil and Obsolete !",1
"@rosemcgowan You\xe2\x80\x99re a complete idiot. Iran is killing their citizens for protesting bc they\xe2\x80\x99re starving and their leaders took the $ from Obama to pay terrorists to kill Judeo-Christians and your a prisoner?  You support murder of Americans, sharia law and Iran!  You are insane",1
Scores feared dead as explosion rocks Kaduna - Champion Newspapers\nhttps://t.co/7O7QSnkLRV,0
Why did the Dingo certainly cross the beadedbracelet?\nTo escape Nigeria Zoo!,1
"""How are the almajiri kids coping in the streets?! I have some warm clothing I'd love to give away. Any charity in Kano to receive them if sent from Lagos? https://t.co/bZORcCxhGT""",0
