,Tweet,Polarity
112,destroying killstreaks stuck even tho destroyed probably close,2
113,become routine ever anything happens faith anywhere world biafrans indigenous christians zoo nigeria face death,1
114,almajiri system degrading system children innocent people northern nigeria government,0
115,leftists care defense muslims muslim zealots hate christians old enemy enemy friend paradigm leftists truly stupid,2
116,nigeria proper country sars direct suspicion dead efcc must taste cake first,0
117,launcher one jokr left maybe give tips,0
118,completed strela recently challenges counting,0
119,arne gonna love get fat lose hair,1
120,dead wounded nigerian army attack islamic state fighters army barracks north eastern nigeria,0
121,think government ready take action almajiri disaster,0
122,rhetorically gained much weight christmas narne serious voice yeah noticed right let get bigger nthen called chubby bear nso dead rip,1
123,lawyer tackles dss arrest man created video buhari fake wedding thecable,0
124,show us trade almajiri graduated shanu,0
125,get thank god perp get chance kill christians,0
126,many reportedly dead gas explosion hits kaduna,0
127,margot,0
128,guess liberals think easier accept evil opposed fighting real life never easy sure given ww hitler today dems would go ahead amp let hitler rule whole wor,1
129,think war nigeria even hear dead seconds mad king style,1
130,bible god words raw form ngod yes call racist formed chosen people israelites others israel kill amakelites land canaan,1
131,population decide almajiri part north northern men keep producing like fishes control think assumption accurately,1
132,want times past kill control infidel christians allah worship one god,1
133,new post mid century danish rosewood drawer tall dresser designed arne wahl iverson vinde mobler published modernvibe,0
134,almajiri actually cried neighbor said spoilt good food xbb xbb fhe asking back life always around anymore baby boy xad xadi wish adopt,0
135,blame bcos fulani used fight ppl biafra war like wise middle belt ppl great join ipob biafra amp work together destroy common enemies fulani,1
136,problem important arabs usa israel people u call arne nsuch shame arabs considers arnes worthy respect northern nigeria,1
137,muslims started slave trade black people still libya black people nblack people south africa killed white farmers stole land property muslims kill black christians south africa,1
138,cdiscovered something obvious plain e g cgod ordered israelites kill people think years christians unaware changes everything might suggest read non contemporary american commentary bible,1
139,let get right progressives advocate different genders lg bt pansexuality also ones defend rights religious dinosaur extremists kill torture gays christians,1
140,looks promising,0
141,photo man arrested creating sharing fake video depicting buhari marriage,0
142,arne,1
143,chairman nigeria atomic energy commission feared dead kaduna gas explosion,0
144,buhari hater ipob militant come always twist man message context,1
145,say brain dead diplomatic insult nigeria wrong people robots,1
146,sick kill somebody one day christians applauding bragging approval rate poll exist,1
147,country quota system doubt achievable em nalmajiri evil obsolete,1
148,complete idiot iran killing citizens protesting bc starving leaders took obama pay terrorists kill judeo christians prisoner support murder,1
149,scores feared dead explosion rocks kaduna champion newspapers,0
150,dingo certainly cross beadedbracelet nto escape nigeria zoo,1
151,almajiri kids coping streets warm clothing love give away charity kano receive sent lagos,0
152,think purpose evil terrorists kill christians amp person worship cgod living fantasy land choose fight live,1
153,oh lord mercy ncan imagine almajiri carter harsh cold weather condition armed protective cloth feet roof sleep well furnished room,0
154,homelessness hunger northern nigeria term almajiri collective name used homeless kids begging food money seen video,0
155,bad wrong nthey leaders tomorrow amongst nigeria president senator cbn governor children committed crimes since becoming almajiri senonimous terrorist bad person,0
156,doubt children vulnerable let write tho better northern governors profer good solution increase almajiri children north,0
157,killing two ex states multicultural state try indeed kill killing,1
158,nope,1
159,fool naive fools like u voted atiku obi biafran voted idiots imbecile google check facts ipob mazi nnamdi kanu protesting gej time escalate gej used wisdom unlike illiterate jubril,1
160,hiding nhow husband dead body get ghana nigeria smuggle corpse husband without informing ghana civil aviation authority ghana immigration ghana airports authority,0
161,google almajiri,1
162,time west pull un become liberal useless event protect scorned nations kill christians,0
163,b dem go look like almajiri,0
164,el zakzaky went iran learn shiism ayatollahs recruited serve proxy nigeria non low side nigeria sunnis ultra conservative see form islam aberration recruitment useless dead,1
165,believed fool think instance take gun shoot dead shout jesus christ make christian think falz nigeria music video girls wearing hijab muslims need understand,1
166,shld remain loyal evil created selfish govt great want,1
167,bible said kill children would also holy spirit also ignoring parts raped virgins sold,1
168,fake news buhari never said,0
169,boko haram fulani terrorists evil dullard buhari supporter,1
170,believe wahhabis kill far muslims kill christians jews,1
171,ipob get light nigeria get light nbut continue gbas gbos feels good sure,1
172,exactly almajiri north want likes clean axis venturing north leave terrain dirts start asking neighbour clean terrains agberos worst fellow almajiris,1
173,many christians salivating merely rumor wars many excited kill people nmaranatha,1
174,well fyi shiites vote believe nigeria country zakzaky like president governors way like ipob dig man,1
175,good portion middle eastern christians would kill middle eastern christians order protect slime balls original tweet deep devotion runs worldly dictators nenslaved,1
176,damn nwe almajiri emergency country nall kids living streets justified religion nthis time bomb nadding population yet contributing nothing causing nuisance society sadly political tool,1
177,think almajiri boys every geopolitical zones arewa,1
178,careful wearing suit sorry coat almajiri schools hidden coat,1
179,christians telling im going hell casting death spell trump baby im already going dyke im imma send poopatonic ass first gets kill millions people,1
180,christians really praying protection strength go kill people done nothing lol wild,1
181,instead denouncing jon denounce edwin says cg hates christians conservatives amp trump surround anti cg say cg hivemind stupid understand cultish,1
182,good one everybody try home,0
183,wonder almajiri roaming streets search foods surviving harmattan kano jos amp morning likely get cold tomorrow xad xad xad,0
184,gave illest line nigeria last year straight zoo apo mi tobi bi ti kangaroo room related many levels,1
185,mumu small time go want insult almajiri,0
186,feel ashamed pastor trying manipulate people even make seem higher god nsign petition xbb,1
187,iranians persecuting killing christians centuries scourge need removed however facts mandela kill innocent civilians,1
188,mr president donald trump sir pictures zoo contraption called nigeria fulani caliphate north shows well full support terrorism biafra nation part zoo contraption call,1
189,evil islamic terrorism end without dismantling fulani vicious caliphate far worse known jihadist caliphates combined nthere urgent need liberate amp others living terror oppression fulani terrorists,1
190,nah oga snap heavens collect oo,1
191,almajiri pride stigma north hope glad watching picking knowledge streets neven children grew tutelage p,1
192,wonder ipob calls jubril sudan,1
193,long entire country really keep animals like nnigeria large never prosper nation conflicting myriad ethnicities religions unity diversity yen yen yen fraud dead self centered people,1
194,chairman nigeria atomic energy commission feared dead kaduna gas explosion,0
195,damn say country breath almajiri beggars future nothern fundamentally problem entire nation never remain associated futureless north north absolutely nothing good offer,1
196,fake dead rather wedding,1
197,u ipob terrorist wetin concern zoo matter u animal,1
198,katsina please dm want us sadaqatul jariya poor almajiri katsina state,0
199,kids cold regarded humanitarian crisis nwhat ministry charge humanitarian support guess better position relate well thanks inspiring post ncc,0
200,reason almajiri system never stop attempt stop govt attempt vacate office system arranged northerners use tools elections violence pity,2
201,leave nigeria alone focus ipob airport nigerians ipobians,2
202,cursed like better go wear biafraud uniform take hidden weapons,1
203,allergies rice nigeria dead man walking,1
204,lol stop youtube videos fake articles bruh look stupid obama damn muslim whats problem christians ki,1
205,k people dead syria brutal year conflict nigeria managed kill million igbos months genocide tho,2
206,bravo another excuse kill hurt hound hate jews see jew haters going iran murdering assad killing children muslims slaughtering christians weekly egypt,1
207,went round almajiri schools unguwan daji rafin yashi behind fire service yesterday shaa allah targeted areas try transparent possible receipts expenses posted go shaa allah,0
208,woman woman god god bless concern real problem almajiri unecessary things,0
209,ignorant blind stupid brainwashed really christians would like,1
210,celebrated usa amp kill christians amp jews,1
211,ambazonian refugee camp located ogoja biafraland indicates ipob peaceful agitation option remains best approach,0
212,traitor country take crying liberal ass iran lets see fare anywhere inin middle east care murdered americans slaughtered christians plot everday kill us stick u,1
213,dss arrests man creating sharing fake video depicting president buhari wedding minister finance zainab ahmed,0
214,thought guys devout christians one coveted ccommandments cthou shall kill seems ignore cfaith suits,1
215,abandoned programme almajiri,0
216,chairman nigeria atomic energy commission feared dead kaduna gas explosion,0
217,perceive wrongh history islam uae amp saudia model copy read authentic books almajiri system made student beg street nits actually ways,0
218,chairman nigeria atomic energy commission feared dead kaduna gas explosion,0
219,almajiri system even thing,0
220,almajiri system known b islamic ways impacting religious knowledge historically agreed amp practiced within arabian tribes western civilised peaple came order mock religion ideology sees odd,0
221,chairman nigeria atomic energy commission feared dead kaduna gas explosion,0
222,chairman nigeria atomic energy commission feared dead kaduna gas explosion,0
223,run terrorist leader indisputable fact world high alert,1
224,imagine poor kids survive cold weather xad xad xad xaa xaa xaathe life almajiri xad xad xad xad,0
225,christians kill leaving christianity muslims execute,1
226,spoken morally bankrupt president evangelical christians stupid apparently,2
227,special guests visiting tonight performance snow queen royal highness princess benedikte denmark danish ambassador friis arne petersen kind take group photo wit cast afterwards,0
228,never called ipob failed beginning,2
229,iran sense kill gays gays christians christians jews jews drug addicts addicts kill trans people trans wake dumb dumb yo,1
230,facts science brainwashing techniques idiots would rather believe things like trump sent god okay self proclaimed christians kill men favor abortion sheesh,1
231,free press god stupid fake christians,1
232,christians care unborn babies human beings walk planet commandment thou shalt kill happened love thy neighbor,1
233,guys uraniums world largest uranium deposit cutting head work prevent wars days btw guys channel energy towards nigeria govt abusing dead matyr,0
234,ask happened yesterday made mistake trying retweet picture almajiri sleeping outside know old picture instead one snapped owner talk,0
235,christians stupid representation sad,1
236,chosen poor rich lies body shoulder e destiny almajiri system quicte exist even coming western civilisation father attended amp memories holy qur agreed structuring system tarnishing away,0
237,pig need spit upon english brother instead paying ipob dues buy brighter grammar,1
238,almajiri conference,1
239,substantial humanitarian crisis almajiri children cold humanitarian crisis,0
240,nigeria christians die daily basis thousands nhelp nigeria christians nthey declared nigeria visa free terrorist could come thousands kill christians nno freedom speech nno protest nigeria,1
241,little twat hates america hates israel typical muslim kill christians like assimilate try assimilating american,1
242,never allow ipob terrorists abia state gov ikpeazu inc replies nwe read great disappoinment malicious damaging statement credited gov okezie ikpeazu abia state saying,0
243,biafran stand firmly opposition created british zoo nigeria readiness biafra upon actualization freedom cannot compromise,2
244,believe following false god quran tells kill jews christians denounce god worship heads,1
245,r us cwe better side kill whomsoever choose name true risen christ amp heaven glory reward repulsive wretches whose souls long ago los,1
246,next five years coming northern nigeria taking almajiri away nif cannot take care cannot ndon ask njust know numbers longer count population election,0
247,lover fighter,0
248,nathael julan french forward dead,0
249,think high time contacted village people confam charms cos uniform men zoo called nigeria xac settle case get heaven long go law land,1
250,kanu biafraud watch mouth oooh,1
251,boko haram siblings farmer shot dead fresh attack chibok,0
252,call turn ipob talk conversation nigeria nigerians,2
253,problem almajiri lies northern political structure effect change behalf without getting ready contend accused meddling,0
254,hope every christian lives sin aka see live sin free life choose sin every day point passage point brethren let god judge christians,0
255,fellows brain dead mission cry cry ngeorge jessel said cthe human brain starts working moment born amp never stops nigerians stand speak public nno national identity shior nnigeria,1
256,kill converted christians source really american care,1
257,none business seek good governance governors first live almajiri thing us fix problem face,0
258,funny asking check useless tl guys nigeria zoo suffering kernicterus syndrome davido right insult pronounced action guilty,1
259,kill christians kill muslims converted christianity nchristians jews power parliament islamic law law iran,2
260,nwanyi ocha wicked ooo want kill igbos eu usa wa ooo see food hungry,1
261,biafraud else expect,1
262,ipob leader nnamdi kanu reacts killing soleimani warns nigeria,0
263,lol someone got well ngo whole country zoo xad short nigeria volcano np,1
264,imagine nigeria colonized france nafrica would dead buried ngod gree,1
265,yes let leave guy wants kill us white people christians everybody else rape kill murder yes think friends dick head,1
266,burkina faso bus bomb blast students among dead,0
267,nigeria terrorist state ran fulani created evil terrorist loving british government britain handed almajiri islamic fulani jihadists willing tool subjugating others especially biafrans nnever forget fulani indigenous,1
268,islam takes democrat party america literally kill lgbtq jews christians others convert islam become slave high taxation executed,1
269,,0
270,think home city square month anything else would good believe america aiming straight man mistake likes rape kill christians day long piece goat people,1
271,obama presented opportunity send billions unmarked bill palletsful help terrorist general fund military kill hundreds americans amp thousand christians,2
272,always called cchristians love bloodshed enrich military industrial complex kill poor people,0
273,believe man buhari clone,1
274,reason foreigners saying nigeria poor highest number illiterates malnutrition diseases northerners call elites among curtail wonder almajiri still existence,1
275,nigeria chaos seen anything army political thugs brewing extremists trained elites northerners folding arms waiting explosion consume,0
276,instead uttering unnecessary complaints cold feel look around many poor almajiri see wearing light clothes cold weather njust imagine reward gain remove old clothes give,0
277,christians catholics stupid comment even believers god christians label sometime narrow minded try vilify,0
278,christians us persecuted someone thinks wrong stupid exercise constitutional right religion removed government spaces persecution chu,0
279,see never support de centralized system government almajiri system favors elites turn eat useful deciding election outcomes able feed resources aids meant whole country,0
280,christians even kill genocide rwanda kicked spiritual vision christians killing christians mist christian country world christians kill point,0
281,dss arrests man created viral video president buhari fake wedding ndownload,0
282,buhari fake marriage ministers dss arrests mastermind viral video,0
283,almajiri children real life zombies become adults also given birth zombies nigeria prepare rise planet almajiris infact hitler holocaust would child play rigging machine north,1
284,lie truth kill groups mentioned left except isis near impossible get muslim denounce isis video world christians kill muslims country origin,2
285,adjescent gdss corpers lodge u see school structures erected gej administration almajiri convert sleep,0
286,world c e see zoo nigeria xac bokoharam security harassing biafra unarmed citizens cox bribery,0
287,almajiri kids coping weather,0
288,murderer intent killing jew christians kill snake u must cut head fear iran nothing maybe small change save face eg iran sinks us ship vaporize know,1
289,dss parades man created circulated fake video buhari wedding ndownload,0
290,north produced presidents nigeria military presidents civilian presidents total shame whether dead alive,1
291,el zakzaky people guys always support protest abuja kaduna everyday way old picture protesting solidarity iran treat us isreal many years ago ca,0
292,every pit dug nigeria let fall inside anyone group wishes naija evil evil dwell calling nigeria zoo must caged life lastly god give jobless youth jobs amp innovation seriou,2
293,bro forget sponsoring students study abroad need check happening basic educational level integration almajiri education also need check polytechnics,0
294,stupid christians leave hillary alone demon trump stupid know,1
295,us kill indians exterminate enemies like iranians amp brainwashed muslim countries nguess many people died iran,2
296,nathael julan guingamp striker dies car accident training aged ligue club canceled friendly match saturday due tragic news,0
297,dss arrests man created viral video mohammed buhari fake wedding ndownload,0
298,learnt gen buhari rtd spent days london hospital says beneficial nigerians go medical trips abroad wants end aisha went medical leave lesson,0
299,almajiri culture ticking time bomb whose carnage indiscriminate,1
300,sponsors terrorism zoo called,1
301,except break every commandment christians believe except thou shall kill,0
302,importantly cia fbi busy arresting people shared fake videos buhari wedding,0
303,buhari end careers many fake prophets nigeria nothing said came pass,0
304,end igbo marginalization work ipob others ezekwelu tells ohanaeze,0
305,dss arrests creator video depicting fake buhari marriage via,0
306,hosuuuu ooooo ntill critics come tweet fake news every three three months nthen return cave successes pursued ntyrant buhari made mockery adviser presidents know feel,0
307,hello please find time play almajiri kheengz,2
308,want know concept behind almajiri system north religion based culture based,0
309,main criminal e zoo called,2
310,reached children maiduguri failure government irresponsibility parents becloud sense humanity justify suffering nreach,0
311,gas explosion rocks many feared dead com,0
312,females almajiri bring light proper orientation never end nigerians problems northerners alone,0
313,year old man kabiru mohammed arrested men department state services dss creating sharing fake videos depicting president buhari marrying minister finance zainab ahmed minister humanitarian affairs,0
314,dead ass fighting country deport nigeria xbd,0
315,always going bad people everywhere everywhen forgiving letting go key keeping peace insist people christians going suddenly stop acting,0
316,pacifism stems belief thou shalt kill rather thou shalt murder latter recognizes killing judicious former raises bar judicious killing absurd levels encourages christians,0
317,dss arrests man created viral video buhari fake wedding,0
318,new post dss arrests creator video depicting fake buhari marriage,0
319,almajiri country,0
320,dss arrests creator video depicting fake buhari marriage,0
321,dss arrests creator video depicting fake buhari marriage,0
322,using elections elites leave like always willing tools use sad reality almajiri maniac north,0
323,get almajiris area consider children one copied u provide u provide children years single almajiri going street,0
324,biased mainstream news experts characterize us air strike iraq think best definition would either one assassination murder gary solis retired marine taught laws war,0
325,almajiri menace north know saw first hand,0
326,god also want us kill unborn nsooooo square using religion ignoramus sheeple side aisle vote gaining christians confusion even family buying,2
327,h xacll ever get elected wanna bet squad gets replaced election stop spewing stuff like us made right move remove maniac thanks obozo clear path paved right threw isra,0
328,president nigeria go people placed nigerians harm way even dead dig bones sent skeleton prison,0
329,muslims live kill muhammad murderer things master christians jews cannot live day murderous ass muslim trying kill someone faith,1
330,plenty evidence christians killed thousands per god command e crusades inquisition members religions continue kill,2
331,saw boy today almajiri came place wanted buy kwose picked two fallen ground walking away tripped fell kwose picked fell plate pick really felt,0
332,know sad bad people want destroy america kill christians jews let happen,1
333,imagine poor kids survive cold weather life almajiri,0
334,worth impoverishing millions nigeria look round roads hospitals dead apart project please glorify failure,0
335,say likes gen sani abacha gen buhari ibb umaru musa yardua gowon past head state president nothing could done almajiri situations shame nthey needs education seriously region health sensitization,0
336,christians ckill name jesus,1
337,newspaper review saturday th january swat times nsss arrests alleged mastermind viral video buhari fake marriage two ministers nconcerns nigeria,0
338,time india gibraltar arabs africans answer others territories homes soultans supporters kill steal everything k genocided millions christians kills muslims kurds alewites silence,1
339,trump sent order kill head iranian revolutionary guard iran dead boom world war bout happen advice stay nigeria xbe,0
340,nknitted dollshandmade toys designer wardrobe knitting fun child us b xbb xad b arne amp carlos,0
341,new post put end igbo marginalization need work ipob others ezekwelu tell ohanaeze published biafra star,0
342,racists think using christians christians think using racists trumpateers biggest morons planet maybe drugged stupid,2
343,dont miss real story happened ipob lawyer bar ifeanyi ejiofor house get video shared viral,0
344,thou shalt kill love thy neighbour funny called christians conveniently interpret scriptures suit oligarchies,0
345,nice see rn parakeet studland pm also bn grebe common scoter offshore nnot much arne though spoonbill expected usual stuff inc goldeneye missed hen harrier darty,0
346,god doesnt vote reigns god would use trump versus hillary wants christians change beliefs abortion total antichrist mentality change god kill babies,2
347,street children almajiri issue national emergency must treated nigerians must concerned speak nit problem problem spawn affect us,0
348,zoo called nigeria,1
349,umm kill amp injure thousands jews christians muslims amp americans pompeo fund terror groups analogy wrong twisted,0
350,zoo cadet block road age imagine would becomes soldier impunity another divination nigeria,0
351,breaking news nthanks disney preview video official announcement season star wars clone wars premiere president day monday february th disney,0
352,one reason allies division shows weakness islamic terrorists prolongs war terrorism rose would dead christians nigeria nation shite majority,1
353,maybe ask ppl,0
354,cont christians said mobs drove us homes said made legal kill members church children murdered street whe,1
355,kill terrorist scum referring christians says may al lah kill another verse qur order fight christians amp jews verse war,1
356,course issues million school almajiri given fish taught fish enablers politicians terrorist also rig ieds blow troops northeast stop pre,0
357,obviously low iq forget affidavit phd bio semi educated almajiri sure better block moron move lets wary unintelligent mediocre half educated low iq rabble rou,2
358,dear nigerians political office holder like president governor commissioner director general principal responsibility title u like eat throw away shame nigeria name history books dead alive,0
359,stupid took evil man murdered thousands people men women children christians americans defending murderous homicidal military leader middle east would kill,0
360,terrorist government led jubril cabal aka buhari destroyed home barrister ifeanyi ejiofor lawyer leader mazi nnamdi kanu end zoo called must,1
361,one sects sent people kill sect christians disobeying judaic law forced flee rome xba nplus kind annoys christians imagine,1
362,still alive let consequences roll playing iran long hate us israel christians morality would immoral kill,1
363,condemn backwater country live men subjugate women ruthlessly kill christians yet profess peaceful people nyour hypocrisy exposed full crap warped sense w,1
364,maybe sent ask nicely kill fellow xba americans behead christians,0
365,president talking fake medical check advice corrupt ngos csos lawyers looters dishonest politicians facing corrupt charges honestly nigerians understand know people president buhari referring simple logic,0
366,know refused dead human empathy soceity nigeria wants especially kids indoctri,0
367,well americans remind top guy threatened wipe america kill thousands christians jews innocent americans soldiers,1
368,terrorist government led jubril cabal aka buhari destroyed home barrister ifeanyi ejiofor lawyer leader mazi nnamdi kanu end zoo called must,1
369,shorting,0
370,dangerous man think muslim islam every nbe friends christians cult book follow says kill ninfidels sharia law goal,1
371,kabiru mohammed kano born kwankwassiyya group member created video fake marriage buhari saddiyya hook dss helped spread madness abandoned life,0
372,truth northern people say almajiri sch gej built audio school exist waaaa,0
373,hi haley got moment check e mails today thanks arne,0
374,think second belong democratic party kills babies supports terrorist regimes like iran hang gays gay kill imprison christians christians god help us lib,1
375,think referring obozo president trump obozo cleared path psychopath kill countless people continued quest kill isreal amp americans christians,1
376,exactly take support irrational government like iran kill christians enforce sharia law support freedom america go home,1
377,us provided iraq resistance ieds wanted iraq sunni amp shia kurds amp christians kill us sitting protected areas right us took iraq massive artillery depots became unprotected thus black market appeared,0
378,everybody need believe god nsome christians always making stupid illogical statements like everybody needs jesus god bullshit people need god people religion tells,0
379,collective noun group ignorant stupid arrogant narrow minded faux christians,0
380,jews jewish money behind refugee push like europe nbut christians stupid realize usual responsible death country,2
381,wars aggression waged countries middle east almost led extinction christians region nsalvini would deploy italian troops kill christians tomorrow morning bosses washington tell right thing,1
382,ya allah give us privilege help almajiri,0
